月度,城市名称,平均相对湿度(%),平均温度（摄氏度）,降水量（毫米）,日照时数（小时）
2020-04-01,兰州市,31.0,9.9,0.3,230.3
2020-05-01,兰州市,46.0,15.7,35.5,240.4
2020-06-01,兰州市,48.0,20.4,25.6,204.5
2020-07-01,兰州市,63.0,21.6,49.2,218.6
2020-08-01,兰州市,68.0,19.8,72.4,191.8
2020-09-01,兰州市,77.0,14.8,34.1,172.7
2020-10-01,兰州市,55.0,7.9,1.6,171.6
2020-11-01,兰州市,60.0,0.5,0.1,174.0
2020-12-01,兰州市,56.0,-8.1,,189.7
1996-01-01,南昌市,77.0,5.5,129.0,79.6
1996-02-01,南昌市,70.0,6.5,26.1,115.9
1996-03-01,南昌市,82.0,9.6,257.6,80.9
1996-04-01,南昌市,73.0,15.9,123.4,109.2
1996-05-01,南昌市,80.0,21.9,184.8,115.4
1996-06-01,南昌市,86.0,26.3,284.3,144.0
1996-07-01,南昌市,81.0,28.7,84.1,174.1
1996-08-01,南昌市,81.0,28.6,168.7,199.2
1996-09-01,南昌市,75.0,26.1,18.5,191.8
1996-10-01,南昌市,73.0,20.5,19.1,200.8
1996-11-01,南昌市,73.0,13.2,27.9,93.4
1996-12-01,南昌市,71.0,8.4,29.3,165.0
1997-01-01,南昌市,72.0,6.0,39.9,98.2
1997-02-01,南昌市,74.0,8.1,66.8,71.3
1997-03-01,南昌市,80.0,14.0,93.4,84.6
1997-04-01,南昌市,79.0,17.5,190.1,90.5
1997-05-01,南昌市,75.0,24.0,216.4,175.0
1997-06-01,南昌市,83.0,25.2,268.8,141.5
1997-07-01,南昌市,84.0,27.5,202.5,168.8
1997-08-01,南昌市,83.0,27.9,200.6,165.6
1997-09-01,南昌市,79.0,22.9,33.4,121.8
1997-10-01,南昌市,77.0,20.1,23.6,166.4
1997-11-01,南昌市,78.0,13.0,269.1,127.1
1997-12-01,南昌市,85.0,7.8,120.8,38.9
1998-01-01,南昌市,84.0,4.4,279.7,40.4
1998-02-01,南昌市,79.0,9.4,104.7,98.2
1998-03-01,南昌市,86.0,10.5,267.3,49.0
1998-04-01,南昌市,80.0,21.1,136.6,171.2
1998-05-01,南昌市,82.0,23.4,245.7,176.6
1998-06-01,南昌市,88.0,24.9,539.0,79.8
1998-07-01,南昌市,81.0,29.3,456.5,210.3
1998-08-01,南昌市,77.0,30.1,55.2,354.5
1998-09-01,南昌市,75.0,25.2,85.2,211.6
1998-10-01,南昌市,68.0,21.4,132.5,194.9
1998-11-01,南昌市,73.0,16.3,29.2,134.6
1998-12-01,南昌市,72.0,9.6,12.6,139.7
1999-01-01,南昌市,76.0,7.3,110.2,82.0
1999-02-01,南昌市,66.0,10.1,9.2,131.0
1999-03-01,南昌市,84.0,10.1,250.9,71.0
1999-04-01,南昌市,82.0,17.4,395.4,100.0
1999-05-01,南昌市,80.0,23.8,352.8,145.0
1999-06-01,南昌市,85.0,25.6,434.3,104.0
1999-07-01,南昌市,85.0,27.3,282.7,148.0
1999-08-01,南昌市,86.0,27.0,425.9,134.0
1999-09-01,南昌市,78.0,26.5,30.3,213.0
1999-10-01,南昌市,76.0,20.1,48.1,115.0
1999-11-01,南昌市,74.0,13.6,26.7,142.0
1999-12-01,南昌市,61.0,8.6,0.0,215.0
2000-01-01,南昌市,80.0,5.1,120.8,65.3
2000-02-01,南昌市,82.0,6.0,75.6,26.6
2000-03-01,南昌市,79.0,12.7,172.5,82.7
2000-04-01,南昌市,79.0,17.6,163.0,86.6
2000-05-01,南昌市,76.0,24.1,113.0,213.9
2000-06-01,南昌市,82.0,25.8,352.5,197.2
2000-07-01,南昌市,72.0,30.1,49.8,298.2
2000-08-01,南昌市,82.0,28.3,99.5,202.1
2000-09-01,南昌市,76.0,25.0,37.9,201.9
2000-10-01,南昌市,83.0,19.3,100.8,104.6
2000-11-01,南昌市,80.0,11.9,136.6,123.6
2000-12-01,南昌市,82.0,8.9,14.0,109.6
2001-01-01,南昌市,80.0,6.7,106.9,79.5
2001-02-01,南昌市,80.0,8.4,98.2,72.9
2001-03-01,南昌市,79.0,12.7,115.4,138.5
2001-04-01,南昌市,83.0,17.1,191.5,107.3
2001-05-01,南昌市,79.0,23.3,77.5,166.5
2001-06-01,南昌市,84.0,25.6,246.8,168.5
2001-07-01,南昌市,74.0,30.6,92.7,298.8
2001-08-01,南昌市,83.0,27.1,252.6,152.4
2001-09-01,南昌市,67.0,25.8,1.3,262.2
2001-10-01,南昌市,72.0,20.9,50.5,198.0
2001-11-01,南昌市,70.0,13.8,103.6,177.0
2001-12-01,南昌市,78.0,6.5,79.5,96.3
2002-01-01,南昌市,69.0,8.7,83.6,135.0
2002-02-01,南昌市,80.0,10.1,60.8,89.0
2002-03-01,南昌市,83.0,13.8,126.3,79.0
2002-04-01,南昌市,82.0,17.9,387.5,101.0
2002-05-01,南昌市,83.0,21.0,245.7,106.0
2002-06-01,南昌市,81.0,27.1,166.3,168.0
2002-07-01,南昌市,78.0,28.9,158.1,203.0
2002-08-01,南昌市,79.0,27.7,94.3,194.0
2002-09-01,南昌市,75.0,24.3,75.3,161.0
2002-10-01,南昌市,73.0,19.3,107.0,164.0
2002-11-01,南昌市,73.0,13.9,106.3,140.0
2002-12-01,南昌市,84.0,7.3,150.5,18.0
2003-01-01,南昌市,71.0,5.9,82.0,150.0
2003-02-01,南昌市,80.0,8.8,140.4,69.0
2003-03-01,南昌市,78.0,11.3,136.2,112.0
2003-04-01,南昌市,81.0,17.8,264.6,126.0
2003-05-01,南昌市,77.0,22.6,365.6,164.0
2003-06-01,南昌市,80.0,26.0,521.9,161.0
2003-07-01,南昌市,69.0,31.5,84.2,341.0
2003-08-01,南昌市,72.0,30.1,23.4,249.0
2003-09-01,南昌市,70.0,26.6,13.9,235.0
2003-10-01,南昌市,64.0,19.7,21.5,205.0
2003-11-01,南昌市,71.0,13.9,72.1,173.0
2003-12-01,南昌市,60.0,7.8,17.1,215.0
2004-01-01,南昌市,69.0,5.7,46.3,83.5
2004-02-01,南昌市,66.0,11.1,114.3,146.5
2004-03-01,南昌市,70.0,11.6,99.3,121.7
2004-04-01,南昌市,72.0,19.6,115.8,193.6
2004-05-01,南昌市,75.0,23.4,264.5,194.5
2004-06-01,南昌市,78.0,25.8,142.5,143.6
2004-07-01,南昌市,70.0,29.7,96.9,289.6
2004-08-01,南昌市,75.0,28.7,186.3,231.4
2004-09-01,南昌市,71.0,25.2,35.0,187.9
2004-10-01,南昌市,56.0,20.3,2.2,245.8
2004-11-01,南昌市,67.0,15.4,61.2,157.0
2004-12-01,南昌市,68.0,8.9,45.8,153.9
2005-01-01,南昌市,74.0,3.7,91.7,43.7
2005-02-01,南昌市,78.0,4.7,225.8,51.6
2005-03-01,南昌市,70.0,10.6,129.2,109.2
2005-04-01,南昌市,68.0,20.5,166.7,200.0
2005-05-01,南昌市,79.0,22.8,362.7,106.9
2005-06-01,南昌市,74.0,27.5,156.3,183.4
2005-07-01,南昌市,67.0,30.3,97.0,274.3
2005-08-01,南昌市,69.0,28.5,47.1,222.7
2005-09-01,南昌市,70.0,27.1,216.9,214.7
2005-10-01,南昌市,66.0,19.9,90.9,165.0
2005-11-01,南昌市,73.0,15.6,292.1,86.8
2005-12-01,南昌市,57.0,7.0,32.3,136.2
2006-01-01,南昌市,70.0,6.6,71.3,87.6
2006-02-01,南昌市,77.0,6.5,92.8,37.4
2006-03-01,南昌市,71.0,12.7,83.3,119.3
2006-04-01,南昌市,74.0,19.3,281.9,171.8
2006-05-01,南昌市,75.0,22.7,186.4,149.8
2006-06-01,南昌市,80.0,26.0,513.8,156.5
2006-07-01,南昌市,72.0,30.0,55.1,236.4
2006-08-01,南昌市,67.0,30.0,160.8,286.3
2006-09-01,南昌市,66.0,24.3,12.4,189.3
2006-10-01,南昌市,68.0,22.1,41.2,133.2
2006-11-01,南昌市,67.0,15.0,48.8,97.9
2006-12-01,南昌市,63.0,8.1,19.7,134.8
2007-01-01,南昌市,69.0,5.7,67.4,101.2
2007-02-01,南昌市,69.0,12.1,114.7,126.9
2007-03-01,南昌市,72.0,13.7,157.2,94.6
2007-04-01,南昌市,67.0,17.5,149.9,170.3
2007-05-01,南昌市,67.0,25.1,93.3,210.2
2007-06-01,南昌市,77.0,26.4,176.1,169.5
2007-07-01,南昌市,65.0,30.9,94.2,300.8
2007-08-01,南昌市,71.0,29.5,101.2,246.3
2007-09-01,南昌市,72.0,24.7,108.0,170.9
2007-10-01,南昌市,59.0,21.1,0.8,215.3
2007-11-01,南昌市,54.0,14.3,9.3,207.6
2007-12-01,南昌市,70.0,9.2,46.4,88.4
2008-01-01,南昌市,72.0,3.5,75.8,72.8
2008-02-01,南昌市,61.0,5.5,48.2,140.3
2008-03-01,南昌市,68.0,14.6,145.3,163.4
2008-04-01,南昌市,73.0,18.7,157.4,149.4
2008-05-01,南昌市,66.0,24.3,104.1,206.1
2008-06-01,南昌市,78.0,25.8,427.6,157.3
2008-07-01,南昌市,71.0,30.0,133.7,277.5
2008-08-01,南昌市,73.0,29.5,68.0,221.7
2008-09-01,南昌市,73.0,27.0,31.0,232.8
2008-10-01,南昌市,67.0,21.3,16.6,174.8
2008-11-01,南昌市,69.0,13.4,138.7,146.5
2008-12-01,南昌市,58.0,8.7,9.7,175.6
2009-01-01,南昌市,63.0,5.1,19.4,108.7
2009-02-01,南昌市,81.0,10.8,85.3,81.7
2009-03-01,南昌市,83.0,12.1,249.8,104.6
2009-04-01,南昌市,68.0,18.7,244.3,161.8
2009-05-01,南昌市,69.0,23.5,75.4,198.2
2009-06-01,南昌市,71.0,27.8,200.6,198.3
2009-07-01,南昌市,70.0,29.7,142.2,239.2
2009-08-01,南昌市,73.0,29.4,96.0,221.8
2009-09-01,南昌市,71.0,26.9,23.0,208.7
2009-10-01,南昌市,54.0,22.5,11.8,214.0
2009-11-01,南昌市,67.0,11.2,80.1,134.2
2009-12-01,南昌市,75.0,7.3,49.9,99.3
2010-01-01,南昌市,79.0,6.3,86.9,63.7
2010-02-01,南昌市,80.0,9.3,109.4,87.7
2010-03-01,南昌市,73.0,12.3,276.7,132.2
2010-04-01,南昌市,79.0,15.5,302.5,114.0
2010-05-01,南昌市,76.0,23.0,501.0,139.1
2010-06-01,南昌市,77.0,25.0,404.3,114.3
2010-07-01,南昌市,70.0,30.4,144.1,229.7
2010-08-01,南昌市,65.0,30.7,63.1,266.4
2010-09-01,南昌市,75.0,26.4,104.5,161.5
2010-10-01,南昌市,68.0,19.0,55.5,146.2
2010-11-01,南昌市,63.0,15.0,19.6,168.7
2010-12-01,南昌市,68.0,9.0,143.5,160.4
2011-01-01,南昌市,60.0,2.7,39.7,71.7
2011-02-01,南昌市,69.0,8.7,59.8,124.6
2011-03-01,南昌市,61.0,11.6,76.9,136.3
2011-04-01,南昌市,61.0,19.6,88.4,189.4
2011-05-01,南昌市,62.0,23.2,44.5,194.0
2011-06-01,南昌市,79.0,25.9,465.9,94.7
2011-07-01,南昌市,65.0,30.2,99.8,243.4
2011-08-01,南昌市,66.0,29.3,88.7,223.1
2011-09-01,南昌市,65.0,25.2,4.4,169.6
2011-10-01,南昌市,66.0,19.7,93.8,140.3
2011-11-01,南昌市,73.0,17.6,25.4,202.3
2011-12-01,南昌市,61.0,7.4,21.3,112.2
2012-01-01,南昌市,78.0,5.0,90.1,33.7
2012-02-01,南昌市,76.0,5.5,102.6,42.0
2012-03-01,南昌市,82.0,11.3,241.2,89.1
2012-04-01,南昌市,80.0,19.5,212.5,122.0
2012-05-01,南昌市,83.0,23.4,403.2,138.6
2012-06-01,南昌市,86.0,26.5,153.1,97.7
2012-07-01,南昌市,70.0,31.0,89.9,292.7
2012-08-01,南昌市,75.0,29.6,245.0,243.7
2012-09-01,南昌市,74.0,24.5,118.3,185.2
2012-10-01,南昌市,63.0,20.9,47.3,159.2
2012-11-01,南昌市,80.0,12.5,191.4,119.1
2012-12-01,南昌市,78.0,6.6,165.2,99.0
2013-01-01,南昌市,81.0,5.6,26.9,100.1
2013-02-01,南昌市,90.0,8.0,110.1,28.8
2013-03-01,南昌市,79.0,14.1,238.5,132.6
2013-04-01,南昌市,77.0,17.5,203.0,108.0
2013-05-01,南昌市,78.0,24.0,190.1,158.3
2013-06-01,南昌市,81.0,26.9,366.9,193.7
2013-07-01,南昌市,68.0,30.9,83.1,305.2
2013-08-01,南昌市,64.0,31.6,30.5,278.0
2013-09-01,南昌市,71.0,25.7,26.7,176.5
2013-10-01,南昌市,61.0,20.8,11.1,202.1
2013-11-01,南昌市,70.0,14.8,89.2,183.4
2013-12-01,南昌市,54.0,7.8,55.7,167.4
2014-01-01,南昌市,61.0,8.6,13.2,150.8
2014-02-01,南昌市,80.0,7.3,131.8,63.6
2014-03-01,南昌市,80.0,13.7,236.3,112.7
2014-04-01,南昌市,78.0,19.4,172.8,129.5
2014-05-01,南昌市,78.0,22.6,306.1,120.5
2014-06-01,南昌市,79.0,26.5,382.2,110.0
2014-07-01,南昌市,80.0,29.0,328.4,200.0
2014-08-01,南昌市,80.0,27.7,60.6,183.9
2014-09-01,南昌市,77.0,26.9,118.9,206.6
2014-10-01,南昌市,67.0,21.8,27.9,235.3
2014-11-01,南昌市,73.0,14.7,101.1,103.6
2014-12-01,南昌市,57.0,7.6,11.2,194.0
2015-01-01,南昌市,67.0,8.3,23.8,122.8
2015-02-01,南昌市,74.0,9.4,163.4,104.6
2015-03-01,南昌市,82.0,12.5,177.6,88.2
2015-04-01,南昌市,71.0,18.6,182.2,155.1
2015-05-01,南昌市,79.0,23.7,232.0,112.3
2015-06-01,南昌市,81.0,26.9,493.3,149.2
2015-07-01,南昌市,78.0,27.4,237.8,187.5
2015-08-01,南昌市,73.0,28.5,95.6,214.1
2015-09-01,南昌市,74.0,25.0,95.4,176.6
2015-10-01,南昌市,69.0,21.0,92.4,195.3
2015-11-01,南昌市,83.0,13.9,293.3,70.0
2015-12-01,南昌市,74.0,8.7,117.9,75.7
2016-01-01,南昌市,77.0,6.3,113.1,68.3
2016-02-01,南昌市,64.0,9.3,47.3,158.8
2016-03-01,南昌市,71.0,13.1,90.2,133.7
2016-04-01,南昌市,83.0,19.4,290.0,94.5
2016-05-01,南昌市,79.0,22.3,263.0,142.3
2016-06-01,南昌市,78.0,26.7,385.9,200.5
2016-07-01,南昌市,75.0,30.3,302.1,228.6
2016-08-01,南昌市,67.0,30.9,54.6,269.3
2016-09-01,南昌市,71.0,25.7,114.4,174.0
2016-10-01,南昌市,80.0,20.8,46.8,80.2
2016-11-01,南昌市,83.0,13.6,131.2,86.8
2016-12-01,南昌市,74.0,10.0,30.4,162.3
2017-01-01,南昌市,71.0,8.9,26.3,103.0
2017-02-01,南昌市,68.0,9.5,42.5,124.7
2017-03-01,南昌市,76.0,12.4,324.1,82.7
2017-04-01,南昌市,70.0,19.4,156.7,169.7
2017-05-01,南昌市,67.0,24.6,69.3,208.6
2017-06-01,南昌市,88.0,24.4,514.4,63.2
2017-07-01,南昌市,70.0,31.0,120.2,268.8
2017-08-01,南昌市,76.0,29.9,206.7,244.7
2017-09-01,南昌市,76.0,26.8,55.1,187.4
2017-10-01,南昌市,73.0,20.1,66.0,159.0
2017-11-01,南昌市,74.0,14.3,85.9,90.2
2017-12-01,南昌市,63.0,8.7,31.6,151.5
2018-01-01,南昌市,75.0,5.6,77.6,75.7
2018-02-01,南昌市,66.0,7.8,45.8,124.4
2018-03-01,南昌市,76.0,14.5,172.1,143.5
2018-04-01,南昌市,71.0,20.1,267.5,149.2
2018-05-01,南昌市,75.0,25.6,127.7,155.3
2018-06-01,南昌市,74.0,27.1,211.3,166.8
2018-07-01,南昌市,71.0,30.7,142.4,249.3
2018-08-01,南昌市,72.0,29.9,108.0,255.8
2018-09-01,南昌市,67.0,27.1,70.4,220.6
2018-10-01,南昌市,63.0,19.7,98.0,190.8
2018-11-01,南昌市,81.0,14.2,115.6,95.4
2018-12-01,南昌市,83.0,7.5,114.1,34.9
2019-01-01,南昌市,80.0,6.2,112.4,62.7
2019-02-01,南昌市,88.0,6.0,197.1,8.2
2019-03-01,南昌市,81.0,13.28,247.9,85.9
2019-04-01,南昌市,83.0,18.9,224.5,110.7
2019-05-01,南昌市,71.0,23.1,95.3,104.5
2019-06-01,南昌市,79.0,26.7,329.9,120.8
2019-07-01,南昌市,79.0,28.8,257.8,158.9
2019-08-01,南昌市,63.0,31.6,45.0,254.1
2019-09-01,南昌市,57.0,27.4,18.6,267.1
2019-10-01,南昌市,66.0,21.6,5.7,159.1
2019-11-01,南昌市,61.0,15.6,16.2,163.6
2019-12-01,南昌市,70.0,9.7,63.0,134.5
2020-01-01,南昌市,81.0,7.3,215.5,62.2
2020-02-01,南昌市,76.0,11.1,104.5,114.8
2020-03-01,南昌市,81.0,14.2,201.8,75.0
2020-04-01,南昌市,67.0,17.8,98.3,173.1
2020-05-01,南昌市,76.0,24.9,261.0,120.4
2020-06-01,南昌市,84.0,27.6,283.4,82.0
2020-07-01,南昌市,83.0,28.8,664.5,137.3
2020-08-01,南昌市,71.0,30.7,35.0,232.5
2020-09-01,南昌市,82.0,23.7,161.6,65.8
2020-10-01,南昌市,73.0,19.6,40.2,112.3
2020-11-01,南昌市,68.0,15.8,55.7,127.6
2020-12-01,南昌市,64.0,7.7,19.2,93.5
1996-01-01,南京市,76.0,2.5,53.6,134.6
1996-02-01,南京市,65.0,3.4,18.4,152.5
1996-03-01,南京市,72.0,7.8,134.4,94.7
1996-04-01,南京市,62.0,14.6,25.7,196.4
1996-05-01,南京市,69.0,20.3,85.5,156.3
1996-06-01,南京市,82.0,24.8,225.6,126.2
1996-07-01,南京市,86.0,26.8,370.1,159.4
1996-08-01,南京市,79.0,27.9,82.7,205.6
1996-09-01,南京市,79.0,24.0,34.3,164.2
1996-10-01,南京市,80.0,17.9,82.4,154.7
1996-11-01,南京市,78.0,10.5,94.8,106.2
1996-12-01,南京市,73.0,4.8,6.0,187.4
1997-01-01,南京市,76.0,2.1,27.6,142.7
1997-02-01,南京市,71.0,5.2,34.4,130.5
1997-03-01,南京市,77.0,10.6,131.2,142.0
1997-04-01,南京市,72.0,15.6,34.0,173.7
1997-05-01,南京市,68.0,23.0,62.9,225.2
1997-06-01,南京市,73.0,25.6,102.8,184.8
1997-07-01,南京市,82.0,27.5,87.6,185.4
1997-08-01,南京市,82.0,27.7,204.9,207.0
1997-09-01,南京市,71.0,22.3,15.4,222.9
1997-10-01,南京市,75.0,17.7,44.1,201.3
1997-11-01,南京市,82.0,11.0,99.2,120.9
1997-12-01,南京市,82.0,5.8,58.7,84.1
1998-01-01,南京市,77.0,2.3,112.8,107.3
1998-02-01,南京市,76.0,6.6,32.1,114.0
1998-03-01,南京市,81.0,9.1,134.6,108.1
1998-04-01,南京市,78.0,17.9,130.5,178.9
1998-05-01,南京市,79.0,20.5,112.5,154.7
1998-06-01,南京市,79.0,24.2,222.0,187.5
1998-07-01,南京市,80.0,29.5,285.5,258.3
1998-08-01,南京市,80.0,28.6,109.4,234.8
1998-09-01,南京市,76.0,23.6,23.9,205.6
1998-10-01,南京市,76.0,18.9,41.7,206.8
1998-11-01,南京市,74.0,13.2,10.4,199.7
1998-12-01,南京市,80.0,6.0,23.6,156.5
1999-01-01,南京市,73.0,4.3,18.7,158.0
1999-02-01,南京市,62.0,6.6,22.1,175.0
1999-03-01,南京市,77.0,8.6,55.1,91.0
1999-04-01,南京市,72.0,15.4,68.4,159.0
1999-05-01,南京市,71.0,21.0,82.6,193.0
1999-06-01,南京市,82.0,23.0,371.4,113.0
1999-07-01,南京市,83.0,25.9,71.7,150.0
1999-08-01,南京市,85.0,26.0,296.2,146.0
1999-09-01,南京市,79.0,24.6,65.2,184.0
1999-10-01,南京市,81.0,17.5,148.7,105.0
1999-11-01,南京市,77.0,10.4,31.2,156.0
1999-12-01,南京市,67.0,4.8,0.0,185.0
2000-01-01,南京市,79.0,2.3,73.8,89.4
2000-02-01,南京市,72.0,4.0,33.5,148.0
2000-03-01,南京市,64.0,11.1,25.3,179.9
2000-04-01,南京市,62.0,16.9,39.7,204.6
2000-05-01,南京市,67.0,22.3,90.4,220.4
2000-06-01,南京市,76.0,25.3,181.5,173.7
2000-07-01,南京市,76.0,28.8,110.2,256.4
2000-08-01,南京市,81.0,27.9,141.3,181.3
2000-09-01,南京市,75.0,23.5,103.7,157.1
2000-10-01,南京市,81.0,18.0,125.5,92.2
2000-11-01,南京市,81.0,10.1,76.2,120.1
2000-12-01,南京市,80.0,6.9,28.5,110.2
2001-01-01,南京市,77.0,4.0,97.2,95.9
2001-02-01,南京市,78.0,5.8,64.3,96.1
2001-03-01,南京市,63.0,10.7,11.4,203.6
2001-04-01,南京市,67.0,15.6,66.5,173.1
2001-05-01,南京市,68.0,22.7,14.5,211.2
2001-06-01,南京市,79.0,24.7,108.2,107.4
2001-07-01,南京市,73.0,30.2,88.6,233.5
2001-08-01,南京市,80.0,26.7,143.6,167.9
2001-09-01,南京市,70.0,24.0,0.4,201.0
2001-10-01,南京市,70.0,18.8,17.1,140.7
2001-11-01,南京市,73.0,10.8,39.4,159.0
2001-12-01,南京市,75.0,4.8,86.1,81.4
2002-01-01,南京市,67.0,4.9,31.1,154.0
2002-02-01,南京市,65.0,7.7,47.6,144.0
2002-03-01,南京市,72.0,12.1,113.0,157.0
2002-04-01,南京市,72.0,16.6,87.2,142.0
2002-05-01,南京市,76.0,19.5,145.6,131.0
2002-06-01,南京市,71.0,26.0,174.0,186.0
2002-07-01,南京市,74.0,28.5,79.2,247.0
2002-08-01,南京市,78.0,26.7,160.0,206.0
2002-09-01,南京市,72.0,23.6,34.0,198.0
2002-10-01,南京市,66.0,18.0,63.1,187.0
2002-11-01,南京市,68.0,10.5,4.5,157.0
2002-12-01,南京市,77.0,4.9,103.2,19.0
2003-01-01,南京市,65.0,2.3,39.2,157.0
2003-02-01,南京市,77.0,5.6,69.8,77.0
2003-03-01,南京市,67.0,9.6,120.6,148.0
2003-04-01,南京市,71.0,15.3,176.5,110.0
2003-05-01,南京市,71.0,20.5,32.4,157.0
2003-06-01,南京市,68.0,25.1,205.1,161.0
2003-07-01,南京市,81.0,28.2,495.9,157.0
2003-08-01,南京市,81.0,27.6,128.7,135.0
2003-09-01,南京市,77.0,24.7,184.2,175.0
2003-10-01,南京市,71.0,16.9,92.1,176.0
2003-11-01,南京市,73.0,11.5,57.0,131.0
2003-12-01,南京市,67.0,4.6,22.0,135.0
2004-01-01,南京市,68.0,3.3,53.3,120.6
2004-02-01,南京市,59.0,8.5,28.7,157.7
2004-03-01,南京市,65.0,10.0,44.7,164.8
2004-04-01,南京市,64.0,17.1,106.3,195.6
2004-05-01,南京市,71.0,21.2,114.6,176.9
2004-06-01,南京市,72.0,24.9,276.7,186.1
2004-07-01,南京市,74.0,29.3,83.1,229.3
2004-08-01,南京市,76.0,28.2,116.5,218.8
2004-09-01,南京市,76.0,23.3,37.8,180.3
2004-10-01,南京市,66.0,17.9,1.2,218.4
2004-11-01,南京市,75.0,12.7,77.7,181.1
2004-12-01,南京市,73.0,6.9,34.5,111.7
2005-01-01,南京市,63.0,1.5,25.5,130.0
2005-02-01,南京市,67.0,3.0,71.1,98.3
2005-03-01,南京市,54.0,9.0,43.8,202.1
2005-04-01,南京市,56.0,18.6,80.9,230.5
2005-05-01,南京市,61.0,21.3,58.6,184.5
2005-06-01,南京市,59.0,27.6,63.6,211.1
2005-07-01,南京市,71.0,28.7,235.9,195.7
2005-08-01,南京市,75.0,26.8,214.9,138.9
2005-09-01,南京市,79.0,24.8,85.8,131.5
2005-10-01,南京市,72.0,17.4,37.9,161.6
2005-11-01,南京市,73.0,13.6,62.9,106.6
2005-12-01,南京市,57.0,3.8,11.4,146.7
2006-01-01,南京市,77.0,3.9,107.1,94.5
2006-02-01,南京市,71.0,4.3,61.2,90.1
2006-03-01,南京市,61.0,11.3,12.1,190.1
2006-04-01,南京市,64.0,17.1,132.2,159.8
2006-05-01,南京市,66.0,21.2,90.9,186.6
2006-06-01,南京市,70.0,26.5,155.7,171.3
2006-07-01,南京市,78.0,28.7,248.2,137.3
2006-08-01,南京市,73.0,29.5,106.7,238.9
2006-09-01,南京市,74.0,22.5,72.4,125.5
2006-10-01,南京市,77.0,20.3,9.3,150.1
2006-11-01,南京市,74.0,12.8,101.2,107.8
2006-12-01,南京市,71.0,5.2,9.8,114.9
2007-01-01,南京市,68.0,3.6,14.7,101.1
2007-02-01,南京市,69.0,8.8,41.1,121.1
2007-03-01,南京市,67.0,11.7,89.7,119.6
2007-04-01,南京市,58.0,16.5,50.6,192.3
2007-05-01,南京市,60.0,24.0,38.3,194.4
2007-06-01,南京市,74.0,25.3,94.8,123.3
2007-07-01,南京市,78.0,28.4,428.5,111.3
2007-08-01,南京市,74.0,29.3,81.7,217.6
2007-09-01,南京市,74.0,24.0,127.4,135.3
2007-10-01,南京市,73.0,18.5,39.7,153.4
2007-11-01,南京市,72.0,11.2,23.7,161.3
2007-12-01,南京市,76.0,6.7,40.7,49.6
2008-01-01,南京市,75.0,1.5,110.1,56.1
2008-02-01,南京市,67.0,2.5,18.9,194.1
2008-03-01,南京市,64.0,11.3,32.2,185.8
2008-04-01,南京市,70.0,15.6,90.0,146.0
2008-05-01,南京市,65.0,22.2,81.4,242.4
2008-06-01,南京市,81.0,23.4,131.7,71.1
2008-07-01,南京市,76.0,29.0,193.3,203.8
2008-08-01,南京市,82.0,27.0,191.0,161.4
2008-09-01,南京市,78.0,24.4,42.4,149.6
2008-10-01,南京市,76.0,19.0,38.4,134.7
2008-11-01,南京市,71.0,11.4,27.5,158.4
2008-12-01,南京市,60.0,5.7,18.1,165.7
2009-01-01,南京市,67.0,2.2,32.2,144.8
2009-02-01,南京市,82.0,7.3,112.8,53.4
2009-03-01,南京市,71.0,9.8,48.3,130.3
2009-04-01,南京市,65.0,16.6,59.2,218.5
2009-05-01,南京市,60.0,21.9,56.0,243.8
2009-06-01,南京市,70.0,26.6,168.7,212.2
2009-07-01,南京市,78.0,28.0,485.4,182.0
2009-08-01,南京市,82.0,27.2,102.7,147.2
2009-09-01,南京市,81.0,23.4,102.9,116.6
2009-10-01,南京市,64.0,20.1,3.2,199.1
2009-11-01,南京市,76.0,8.6,113.7,110.4
2009-12-01,南京市,73.0,4.5,78.4,104.9
2010-01-01,南京市,67.0,3.6,18.8,122.2
2010-02-01,南京市,77.0,6.0,115.6,83.5
2010-03-01,南京市,71.0,8.6,117.8,129.0
2010-04-01,南京市,69.0,12.8,197.9,166.7
2010-05-01,南京市,69.0,21.1,56.1,169.8
2010-06-01,南京市,72.0,24.8,62.1,160.7
2010-07-01,南京市,81.0,28.3,343.2,154.5
2010-08-01,南京市,74.0,29.7,142.1,240.8
2010-09-01,南京市,83.0,24.2,181.1,140.2
2010-10-01,南京市,73.0,17.1,32.1,160.6
2010-11-01,南京市,66.0,11.9,7.6,177.6
2010-12-01,南京市,55.0,6.5,24.0,193.7
2011-01-01,南京市,57.0,-0.1,10.8,156.1
2011-02-01,南京市,70.0,5.0,17.2,109.4
2011-03-01,南京市,56.0,9.4,43.2,205.2
2011-04-01,南京市,57.0,17.0,11.6,229.0
2011-05-01,南京市,57.0,22.3,40.6,231.5
2011-06-01,南京市,77.0,24.6,312.9,124.2
2011-07-01,南京市,79.0,28.1,278.0,144.4
2011-08-01,南京市,80.0,27.0,284.3,137.4
2011-09-01,南京市,71.0,23.2,12.6,157.2
2011-10-01,南京市,69.0,17.6,28.7,155.3
2011-11-01,南京市,73.0,14.7,21.3,133.4
2011-12-01,南京市,65.0,4.2,15.8,161.2
2012-01-01,南京市,66.0,2.9,21.0,100.5
2012-02-01,南京市,68.0,3.0,73.3,87.9
2012-03-01,南京市,68.0,9.0,79.3,128.8
2012-04-01,南京市,64.0,17.9,56.2,189.2
